question,answer,category
How do I get my certificate of currency?,You can download your certificate of currency by logging into your account and clicking 'Certificate' under the 'Documents' tab.,Account
How do I change my payment details?,You can update your payment details by logging into your account and selecting 'Payment Details' under the 'Actions' tab.,Account
What if I forgot my password?,"Click on the 'Forgot Password' link on the login page, enter your email address, and we'll send you a password reset link.",Account
How much does business insurance cost?,"Business insurance costs vary based on factors like your business type, size, location, coverage needed, and claims history. Get a personalized quote through our website.",Pricing
What payment methods do you accept?,"We accept credit card payments (VISA, MasterCard, AMEX) with a 1% fee, or you can pay in monthly installments for an additional administration fee.",Pricing
Can I pay my insurance monthly?,"Yes, we offer monthly installment options for an additional administration fee of $8.80 per month.",Pricing
Why has my premium increased?,"Insurance premiums may increase due to factors like inflation, natural disasters, claims history, or changes in your business operations.",Pricing
Do you offer any discounts?,We offer competitive pricing and occasionally run special promotions. You can also earn Qantas Points when you take out a new business insurance policy through Nexora.,Pricing
Is there an excess on my policy?,"Yes, most policies have an excess, which is the amount you contribute toward a claim. The specific excess amount depends on your policy type and is shown on your policy schedule.",Pricing
How do I get a quote?,"You can get a quote online by visiting our website, selecting your occupation, and answering a few questions about your business. It usually takes about 10 minutes.",General
Which insurance companies do you work with?,"Nexora works with leading Australian insurers including AIG, QBE, DUAL Australia, Berkley Insurance, and Chubb.",General
How quickly can I get insured?,You can get insured instantly once payment is made. Your policy documents and certificate will be emailed to you immediately after payment.,General
Do I need insurance if I'm a sole trader?,"Yes, sole traders can benefit from business insurance as you're personally liable for all aspects of your business, including any claims made against you.",General
How secure is my information?,We use SSL encryption and partner with trusted payment processors to ensure your information is secure. We never sell or trade customer information.,General
Can I speak to someone about my insurance needs?,"Yes, our customer service team is available Monday to Friday 8:30am - 7:00pm AEST and Saturday 9:00am - 5:00pm AEST at 1300 920 873.",General
What insurance do I need as a Property Manager?,"As a Property Manager in the Real Estate industry, you should consider Management Liability, Professional Indemnity, Business Insurance insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Property Managers need professional indemnity insurance?,Property Managers may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Tax Agent?,"As a Tax Agent in the Accounting industry, you should consider Public Liability, Professional Indemnity, Management Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Tax Agents need professional indemnity insurance?,"Yes, professional indemnity insurance is essential for Tax Agents as it protects against claims of negligence or inadequate work.",Coverage
What insurance do I need as a Management Consultant?,"As a Management Consultant in the Consulting industry, you should consider Business Insurance, Cyber Insurance, Public Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Management Consultants need professional indemnity insurance?,"Yes, professional indemnity insurance is essential for Management Consultants as it protects against claims of negligence or inadequate work.",Coverage
What insurance do I need as a Bar Owner?,"As a Bar Owner in the Hospitality industry, you should consider Cyber Insurance, Professional Indemnity, Management Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Bar Owners need professional indemnity insurance?,Bar Owners may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Valuer?,"As a Valuer in the Real Estate industry, you should consider Professional Indemnity, Cyber Insurance, Business Insurance insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Valuers need professional indemnity insurance?,Valuers may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Lecturer?,"As a Lecturer in the Education industry, you should consider Public Liability, Management Liability, Professional Indemnity insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Lecturers need professional indemnity insurance?,Lecturers may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Digital Product Creator?,"As a Digital Product Creator in the E-commerce industry, you should consider Tax Audit Insurance, Cyber Insurance, Management Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Digital Product Creators need professional indemnity insurance?,Digital Product Creators may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Specialty Retailer?,"As a Specialty Retailer in the Retail industry, you should consider Business Insurance, Professional Indemnity, Management Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Specialty Retailers need professional indemnity insurance?,Specialty Retailers may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a Specialty Retailer?,"As a Specialty Retailer in the Retail industry, you should consider Business Insurance, Tax Audit Insurance, Public Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do Specialty Retailers need professional indemnity insurance?,Specialty Retailers may need professional indemnity insurance if you provide advice or services that could lead to a clients financial loss. It depends on your specific services and client contracts.,Coverage
What insurance do I need as a IT Consultant?,"As a IT Consultant in the IT Services industry, you should consider Tax Audit Insurance, Business Insurance, Management Liability insurance. The exact coverage needed depends on your specific business operations and risks.",Coverage
Do IT Consultants need professional indemnity insurance?,"Yes, professional indemnity insurance is essential for IT Consultants as it protects against claims of negligence or inadequate work.",Coverage
What is Equipment Breakdown Insurance?,Covers the repair or replacement of essential business equipment that breaks down due to mechanical or electrical failure.,Products
What is Portable Equipment Insurance?,"Protects mobile business assets like laptops, tools, or photography gear against loss, theft, or damage while on the move.",Products
What is Personal Accident Insurance?,Provides income protection and lump sum payments if you're injured and unable to work due to an accident.,Products
What is Workers Compensation Insurance?,"Mandatory in most states, it covers wages and medical costs for employees injured during work-related duties.",Products
What is Commercial Vehicle Insurance?,"Covers vehicles used for business against damage, theft, and third-party liability.",Products
What is a Certificate of Currency?,"A Certificate of Currency confirms your active insurance policy and includes key policy details like type, dates, and sum insured.",General
What is a Product Disclosure Statement (PDS)?,"A document that outlines the policy coverage, limits, exclusions, and obligations to help you make informed decisions.",General
Why do I need insurance if I work from home?,"Even home-based businesses face risks like client claims, data breaches, or property damage that insurance can protect against.",General
Can I have multiple insurance policies?,"Yes, you can combine policies like Public Liability, Professional Indemnity, and Cyber Insurance for broader protection.",General
Is business insurance tax deductible?,"In most cases, yes. Premiums for business insurance may be tax deductible. Please consult your tax advisor for specifics.",General
How often should I review my insurance policy?,We recommend reviewing your policy annually or whenever there's a significant change in your business operations.,General
Do I need Cyber Insurance if I don’t store customer data?,"Cyber threats affect all businesses; you may still face losses due to ransomware, business email compromise, or vendor breaches.",Coverage
Do contractors need Public Liability insurance?,"Yes, contractors are often required to have Public Liability insurance to work onsite or with clients.",Coverage
Is Professional Indemnity mandatory for consultants?,"In many industries, it’s a legal or contractual requirement, especially where advice or service delivery is involved.",Coverage
What insurance do I need as a Sole Trader Graphic Designer?,"Graphic Designers should consider Professional Indemnity, Cyber Insurance, and Public Liability insurance.",Coverage
What insurance do I need as an Online Retailer?,"Online Retailers should consider Business Insurance, Cyber Insurance, and Tax Audit Insurance to protect digital assets and operations.",Coverage
Do Online Retailers need Cyber Insurance?,"Yes, Cyber Insurance is essential due to risks like data theft, payment fraud, and website compromise.",Coverage
What is the benefit of bundling policies?,"Bundling insurance can reduce admin burden, provide multi-policy discounts, and ensure coverage gaps are minimized.",General
What is the waiting period on a claim?,Waiting periods vary by policy type but are typically stated in your policy schedule. Check your PDS for details.,Claims
What is a claims excess?,An excess is the amount you pay out of pocket before the insurer contributes to the claim payout.,Claims
Do I need insurance for subcontractors?,"If subcontractors work under your direction, you may be liable for their actions. Ensure they’re covered or listed.",Coverage
How can I lower my insurance premium?,"Maintain a good claims history, reduce risk exposures, pay annually, and only include necessary coverage to lower premiums.",Pricing
Can I get insurance today?,"Yes, if eligible, your policy can be issued and active immediately upon payment confirmation.",General
How is my premium calculated?,"Premiums are based on your industry, turnover, location, employee count, and claims history.",Pricing
Can I increase my cover mid-term?,"Yes, you can request a mid-term policy adjustment to increase your cover as your business grows.",Account
What is an insurance endorsement?,"An endorsement is an amendment to your policy that alters the terms, limits, or conditions.",General
Do I need Public Liability if I don’t have a physical store?,"Yes, even mobile or service-based businesses can cause third-party injury or damage during business activities.",Coverage
Can I insure my business stock?,"Yes, stock can be covered under Business Insurance for events like fire, theft, or storm damage.",Coverage
How long are policy documents stored?,We retain your policy documents securely for up to 7 years for regulatory and service purposes.,Account
What if I close my business?,You may still need run-off cover depending on your industry. Contact us before cancelling to discuss post-closure risks.,Account
Do I need insurance if I’m part-time self-employed?,"Yes, part-time businesses can still face liability risks and should consider appropriate insurance.",Coverage
